name;WoSline;author;title;journal;year
GAMEZ_N(2016):176;15536;Gamez, N; green_software using Aspect Orientation for Cyber-Physical-Systems;*****;2016
CHINENYE_S(2016):186;15586;Chinenyeze, SJ; DEEPC: Dynamic Energy Profiling of Components;P INT COMP SOFTW APP;2016
SAHU_G(2016)9844:292;15661;Sahu, GP; green_information_system Adoption and Sustainability: A Case Study of Select Indian Banks;LECT NOTES COMPUT SC;2016
BABIC_J(2016):179;15793;Babic, J; A Review of Agent-based Modelling of Electricity Markets in Future Energy Eco-systems;*****;2016
PACINI_G(2016)11:114;15904;Pacini, GC; Assessment of management of a golf course by means of sustainability indicators;ITAL J AGRON;2016
SIRON_R(2016)81:20168108001;15994;Siron, R; An Analysis of Environmental Dimensions Affected in Adoption of Hydrogen Fuel Cell Vehicles: A Study in Shah ALAM Industrial AREA, Selangor;MATEC WEB CONF;2016
FISUN_M(2016):40;16050;Fisun, M; Implementation of the information_system of the Association Rules Generation from OLAP-cubes in the Post-relational DBMS Cache;*****;2016
ALHARBI_O(2016)9661:3;16108;Alharbi, O; Design of an Awareness Smartphone Platform Based on Direct and Indirect Persuasion for Energy Conservation;LECT NOTES COMPUT SC;2016
GORDIEIE_O(2016)594:38;16192;Gordieiev, O; Software Quality Standards and Models Evolution: Greenness and Reliability Issues;COMM COM INF SC;2016
HINDLE_A(2016):46;16278;Hindle, A; green_software Engineering: The Curse of Methodology;*****;2016
ELMACI_O(2016)5:254;16481;Elmaci, O; Analysis of environmental costs in the context of achieving sustainable advantage and resource based costing model proposal of reporting environmental costs: Balanced scorecard (BSC);INT J ORGAN LEADERSH;2016
LONG_T(2016)59:109;16536;Long, T; Termination analysis with recursive calling graphs;J NETW COMPUT APPL;2016
DEBBARMA_T(2016):;16611;Debbarma, T; Green Measurement Metrics Towards a Sustainable Software: A Systematic Literature Review;*****;2016
BAO_K(2016):3007215;16683;Bao, KB; A Microservice Architecture for the Intranet of Things and Energy in Smart Buildings [Research Paper];*****;2016
RECKER_J(2016):4474;16768;Recker, J; Toward A Design Theory for green_information_system;P ANN HICSS;2016
AZHAR_S(2016):208;16857;Azhar, S; information_system to support planning and decision-making in construction organizations using action research methodology;*****;2016
